kernel_name,core_clk_time,core_clk_energy,core_clk_edp,core_clk_ed2p,clk_es_25,clk_es_50,clk_es_75,clk_pl_25,clk_pl_50,clk_pl_75
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE8_clESB_E16upd_halo_r_yvel0,1530,990,1387,1530,1245,1207,1140,1237,1162,1087
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE9_clESB_E16upd_halo_r_yvel1,1530,990,1387,1530,1260,1207,1020,1237,1162,1087
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE10_clESB_E21upd_halo_r_vol_flux_x,1530,990,1387,1530,1260,1207,1020,1237,1162,1087
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE11_clESB_E22upd_halo_r_mass_flux_x,1530,990,1387,1530,1260,1207,1020,1237,1162,1087
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE12_clESB_E21upd_halo_r_vol_flux_y,1530,990,1387,1530,1260,1207,1020,1237,1162,1087
_ZTSZZ25update_tile_halo_r_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE13_clESB_E22upd_halo_r_mass_flux_y,1530,990,1387,1530,1245,1155,1087,1237,1162,1087
_ZTSZZ25update_tile_halo_t_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE_clESB_E19upd_halo_t_density0,1530,1012,1312,1530,1200,1177,1035,1237,1162,1087
_ZTSZZ25update_tile_halo_t_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE0_clESB_E19upd_halo_t_density1,1530,1012,1312,1530,1245,1170,1035,1237,1162,1087
_ZTSZZ25update_tile_halo_t_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE1_clESB_E18upd_halo_t_energy0,1530,1012,1312,1530,1252,1222,1020,1237,1162,1087
_ZTSZZ25update_tile_halo_t_kernelRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEES5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_iiiiS5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_S5_PKiiENKUlRN4sycl3_V17handlerEE2_clESB_E18upd_halo_t_energy1,1530,1012,1312,1530,1245,1177,1035,1237,1162,1087
